occ_code,automation_exposure,augmentation_exposure,theoretical_exposure,theoretical_exposure_conservative,automation_share,augmentation_share,classified_task_n
19-2021,0.018424242424242423,0.019575757575757576,0.9565217391304348,0.5652173913043478,0.4848484848484848,0.5151515151515151,10.0
19-2031,0.0858149209301533,0.17558507906984672,0.68,0.38,0.32828967456064767,0.6717103254393524,7.0
19-2032,0.05785110821906292,0.12644889178093707,0.8275862068965517,0.4827586206896551,0.31389640921900663,0.6861035907809934,5.0
19-2041,0.020420125369265622,0.034379874630734386,0.9810659186535764,0.5217162952137376,0.3726300249865989,0.6273699750134012,19.0
19-2042,0.01037412587412587,0.03262587412587412,0.8222222222222223,0.4666666666666667,0.2412587412587412,0.7587412587412588,5.0
19-2043,0.025097368421052632,0.04970263157894737,0.875,0.5,0.3355263157894737,0.6644736842105263,5.0
19-2099,0.026238461538461544,0.011661538461538461,0.9130434782608696,0.4565217391304347,0.6923076923076924,0.30769230769230765,2.0
19-3011,0.06567477557617574,0.17612522442382425,1.0,0.5526315789473684,0.2716078394382785,0.7283921605617215,11.0
19-3022,0.19440737784961884,0.2371926221503811,1.0,0.625,0.4504341470102383,0.5495658529897616,6.0
19-3032,0.03678302946012133,0.12091697053987868,0.888888888888889,0.4888888888888889,0.2332468577052716,0.7667531422947285,10.0
19-3033,0.01253316350086568,0.04656683649913432,0.6481481481481481,0.3703703703703703,0.21206706431244807,0.7879329356875518,12.0
19-3034,0.009903531903391324,0.03679646809660867,0.7837837837837838,0.3918918918918919,0.21206706431244807,0.7879329356875518,12.0
19-3039,0.0,0.0,0.8452380952380951,0.4543650793650793,,,3.0
19-3041,0.1558214391574837,0.22747856084251628,0.9230769230769232,0.5384615384615385,0.40652606093786514,0.5934739390621349,7.0
19-3051,,,0.9545454545454546,0.4772727272727273,,,6.0
19-3091,0.06829942313114981,0.06710057686885017,0.8275862068965517,0.4396551724137931,0.5044270541443856,0.4955729458556143,13.0
19-3092,0.03753424657534247,0.07206575342465753,0.8333333333333333,0.4999999999999999,0.34246575342465757,0.6575342465753424,4.0
19-3093,0.011768115942028987,0.016231884057971015,0.8421052631578947,0.4736842105263157,0.4202898550724638,0.5797101449275363,16.0
19-3094,0.11124010973323287,0.3407598902667672,0.9166666666666666,0.4791666666666666,0.24610643746290456,0.7538935625370955,7.0
19-3099,0.01336547619047619,0.01933452380952381,0.9534883720930232,0.5232558139534884,0.4087301587301587,0.5912698412698413,8.0
19-4012,0.0023593745921192074,0.0034406254078807926,0.6767676767676768,0.4097222222222222,0.4067887227791737,0.5932112772208263,8.0
19-4013,0.08290354170239561,0.12089645829760441,0.4285714285714285,0.3571428571428571,0.4067887227791737,0.5932112772208263,8.0
19-4021,0.01818228043143298,0.04171771956856703,0.6333333333333333,0.4166666666666666,0.30354391371340533,0.6964560862865947,7.0
19-4031,0.13031026620422126,0.18448973379577877,0.6428571428571428,0.3928571428571428,0.4139462077643623,0.5860537922356377,7.0
19-4042,0.10958014184397163,0.03481985815602837,0.6666666666666667,0.4555555555555556,0.7588652482269503,0.24113475177304966,6.0
19-4043,0.18306217256755772,0.045937827432442305,0.7317073170731707,0.3902439024390244,0.7993981334827848,0.2006018665172153,5.0
19-4051,0.0,0.0,0.2586580086580086,0.18506493506493504,,,4.0
19-4061,0.17631758527933322,0.2629824147206668,0.9090909090909092,0.6666666666666667,0.40136031249563675,0.5986396875043632,11.0
19-4071,0.009606531531531532,0.01249346846846847,0.576923076923077,0.3269230769230769,0.4346846846846847,0.5653153153153153,1.0
19-4092,0.0,0.0,0.7096774193548387,0.3870967741935484,,,2.0
19-4099,0.045070570543845466,0.05042942945615453,0.9148936170212766,0.5348318462594372,0.47194314705597346,0.5280568529440265,9.0
19-5011,0.0,0.0,0.6190476190476191,0.3333333333333333,,,
19-5012,0.0,0.0,0.6666666666666666,0.3958333333333333,,,2.0
21-1012,0.04008141081000081,0.07811858918999919,0.5263157894736842,0.2894736842105263,0.3390982302030525,0.6609017697969474,9.0
21-1013,0.0,0.0,0.1481481481481481,0.1111111111111111,,,6.0
21-1015,0.0,0.0,0.6451612903225806,0.3548387096774194,,,1.0
21-1021,0.0,0.0074,0.4285714285714285,0.2428571428571428,0.0,1.0,3.0
21-1022,,,0.65625,0.34375,,,5.0
21-1023,0.0,0.0,0.5416666666666666,0.2708333333333333,0.5,0.5,3.0
21-1091,0.07274543969814305,0.06485456030185695,0.8064516129032258,0.532258064516129,0.5286732536202257,0.47132674637977434,3.0
21-1092,0.0,0.0,0.631578947368421,0.3947368421052631,,,
21-1093,0.0,0.0,0.5714285714285714,0.3928571428571428,,,4.0
21-1094,0.0,0.0,0.5555555555555556,0.3194444444444444,,,4.0
21-2011,0.0451264328993121,0.0664735671006879,0.4761904761904761,0.3333333333333333,0.4043587177357715,0.5956412822642285,9.0
21-2021,0.06227768897639973,0.09072231102360027,0.7272727272727273,0.4393939393939394,0.40704371879999823,0.5929562812000018,7.0
23-1011,0.04148470452940911,0.1258152954705909,0.8500000000000001,0.425,0.2479659565415966,0.7520340434584034,5.0
23-1012,0.07900363636363637,0.09139636363636364,0.896551724137931,0.5172413793103449,0.4636363636363637,0.5363636363636364,5.0
23-1021,0.12104901944553456,0.18375098055446545,0.8461538461538463,0.5,0.39714245224912914,0.6028575477508709,4.0
23-1022,0.07670981766075403,0.16589018233924596,0.9032258064516128,0.5,0.31619875375413864,0.6838012462458614,8.0
23-1023,0.15950040670918317,0.15139959329081681,0.8333333333333333,0.4166666666666666,0.5130280048542398,0.48697199514576006,5.0
23-2011,0.19802108012934896,0.09467891987065105,0.8500000000000001,0.525,0.6765325593759787,0.32346744062402133,2.0
23-2093,0.01134,0.01026,0.9285714285714284,0.5714285714285714,0.5249999999999999,0.475,1.0
25-1011,0.13017548327214237,0.1770245167278576,0.7954545454545455,0.4886363636363636,0.4237483179431718,0.5762516820568282,14.0
25-1021,0.10375731227804492,0.1376426877219551,0.8571428571428571,0.5119047619047619,0.4298148810192416,0.5701851189807584,17.0
25-1022,0.18616369889677212,0.2443363011032279,0.7837837837837838,0.5405405405405406,0.43243600208309435,0.5675639979169057,15.0
25-1031,0.0,0.0,0.7804878048780488,0.4878048780487805,0.38469151411677005,0.61530848588323,15.0
25-1032,0.14060124790684764,0.21829875209315236,0.8571428571428571,0.5,0.39175605435176275,0.6082439456482372,15.0
25-1041,0.0,0.0,0.7777777777777778,0.5,0.4216526991572142,0.5783473008427858,16.0
25-1042,0.11400100873438224,0.17739899126561773,0.7959183673469387,0.4693877551020408,0.3912182866656906,0.6087817133343093,17.0
25-1043,0.00806842341924602,0.01253157658075398,0.7608695652173912,0.4782608695652174,0.39167103976922424,0.6083289602307758,17.0
25-1051,0.014069554750072646,0.025530445249927352,0.775,0.475,0.3552917866179961,0.6447082133820038,17.0
25-1052,0.07593828824555048,0.14256171175444954,0.6862745098039216,0.4313725490196078,0.34754365329771386,0.6524563467022862,15.0
25-1053,0.00927197023556209,0.01392802976443791,0.7826086956521738,0.5217391304347826,0.3996538894638832,0.6003461105361169,17.0
25-1054,0.0,0.0,0.7209302325581395,0.4186046511627906,0.3950734486784269,0.604926551321573,16.0
25-1061,0.009629997542354302,0.0139700024576457,0.7551020408163265,0.520408163265306,0.40805074332009755,0.5919492566799025,16.0
25-1062,0.0,0.0,0.7777777777777778,0.5,0.40820023570331043,0.5917997642966896,15.0
25-1063,0.0,0.0,0.8048780487804879,0.475609756097561,0.40291325324373384,0.5970867467562662,15.0
25-1064,0.0,0.0,0.7727272727272727,0.4772727272727273,0.40291325324373384,0.5970867467562662,16.0
25-1065,0.0,0.0,0.7804878048780488,0.475609756097561,0.40291325324373384,0.5970867467562662,16.0
25-1066,0.1255390398473845,0.19636096015261556,0.8,0.48,0.3899939106784233,0.6100060893215767,18.0
25-1067,0.0,0.0,0.7272727272727273,0.4318181818181818,0.40291325324373384,0.5970867467562662,16.0
25-1071,0.12268708561271695,0.18181291438728303,0.8250000000000001,0.475,0.40291325324373384,0.5970867467562662,15.0
25-1072,0.07336887061513855,0.1175311293848614,0.6470588235294118,0.4019607843137255,0.3843314332904063,0.6156685667095936,15.0
25-1081,0.10560356367518264,0.15649643632481736,0.8095238095238095,0.4880952380952381,0.40291325324373384,0.5970867467562662,17.0
25-1082,0.006991657877012521,0.011008342122987479,0.8085106382978723,0.5106382978723404,0.38842543761180676,0.6115745623881933,17.0
25-1111,0.0,0.0,0.775,0.5,0.40291325324373384,0.5970867467562662,15.0
25-1112,0.0,0.0,0.775,0.45,0.396136900433962,0.603863099566038,15.0
25-1113,0.0,0.0,0.6818181818181819,0.4204545454545454,0.40291325324373384,0.5970867467562662,15.0
25-1121,0.08576939354508423,0.12843060645491577,0.75,0.4375,0.40041733681178443,0.5995826631882156,17.0
25-1122,0.09076822803214904,0.12033177196785097,0.7250000000000001,0.425,0.4299773947520087,0.5700226052479913,15.0
25-1123,0.1358065647596012,0.22599343524039883,0.8035714285714285,0.5267857142857143,0.3753636394682178,0.6246363605317823,21.0
25-1124,0.09946895685397285,0.14083104314602718,0.8,0.5333333333333333,0.41393656618382374,0.5860634338161763,15.0
25-1125,0.04003376399178251,0.059366236008217485,0.8,0.5111111111111112,0.40275416490726873,0.5972458350927312,17.0
25-1126,0.08138716563651356,0.13831283436348643,0.7727272727272727,0.5113636363636364,0.3704468167342447,0.6295531832657553,17.0
25-1192,0.0,0.0,0.875,0.5375,0.409717997542256,0.5902820024577439,15.0
